Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Dya dragacanti pillules blanches,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Manus christi,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya rodon,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya galange,Galanga,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Lapis saphisorum,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis rubinorum,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis fragmentorum,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis granatorum,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Antimoni,Antimonium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Marcazita aurea,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Lapis calaminaris,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Umbilici marini,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Lapis aymantis,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis lazuli,Lapis_lazuli,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Marcasita argenti,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Lapis ematistes,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis cristali,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis smaragdorum,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Lapis lincis,,LAPIS
"Rostaing de Greoux (Manosque, 1547)",Laquo fino,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Indi bedegal,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Roseto,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Roseto fino en pouldre,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Mini,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cinabrion,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ceruze,Cerusa,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tournesol en drapeau,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Machicot,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tartari albi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Orpigment,Auripigmentum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Radicis aristologie rotonde,Aristolochia,RADIX
"Rostaing de Greoux (Manosque, 1547)",Aristologie longe,Aristolochia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ciperi,Cyperus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Elebori nigri,Helleborus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Elebori albi,Helleborus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tunicis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Mandragore,Mandragora,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tormentille,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Peonie,Paeonia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Acori,Acorus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Consolida maioris,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gentiane,Gentiana,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rhaponticum,Rhaponticum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ben rubei,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Ben albi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rubee tintorum,Rubia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Diptami,Dictamnus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Radicis cardi benedicti,,RADIX
"Rostaing de Greoux (Manosque, 1547)",Sigilum Salamonis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Piretri,Pyrethrum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Costi dulcis,Costus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Panis porcinis,Cyclamen,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rhute,Ruta,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Polipodi quircini,Polypodium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen acetoze,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen cuscute,Cuscuta,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen angelice,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen rupte,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen bozeliconis,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen alkecangi,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen endivie,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Cornu servi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Semen peonie,Paeonia,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen aneti,Anethum,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen sileris montani,Siler,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen saxifragie,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen cytoniorum,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen portulace,Portulaca,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen papaveris nigri,Papaver,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen papaveris albi,Papaver,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen citri,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Grana tintorum,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen malve,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen althee,,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Semen sumac,Sumac,SEMEN
"Rostaing de Greoux (Manosque, 1547)",Pulvis cymini,Cuminum,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Seminis vitice,Vitex,SEMEN
